year,country,subdivision,type,million_60kgs_bag,nonbear_mill_trees,bear_mill_trees,nonbear_thous_hect,bear_thous_hect,trees_hect_bear,trees_hect_nonbear,date
2002,Brazil,Minas Gerais,Arabica,16.2,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,1970
2002,Brazil,Espirito Santo,Arabica,2.2,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,1970
2002,Brazil,Espirito Santo,Robusta,7.5,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,1970
2002,Brazil,Sao Paulo,Arabica,3.2,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,1970
2002,Brazil,Parana,Arabica,0.5,1500.0,4465.0,495.0,2120.0,2106.0,3030.0,1970
2003,Brazil,Minas Gerais,Arabica,26.7,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,1970
2003,Brazil,Espirito Santo,Arabica,3.0,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,1970
2003,Brazil,Espirito Santo,Robusta,8.5,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,1970
2003,Brazil,Sao Paulo,Arabica,5.9,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,1970
2003,Brazil,Parana,Arabica,2.6,1125.0,5265.0,315.0,2360.0,2231.0,3577.0,1970
2004,Brazil,Minas Gerais,Arabica,14.4,631.0,5050.0,205.0,2174.0,2323.0,3075.0,1970
2004,Brazil,Espirito Santo,Arabica,1.7,631.0,5050.0,205.0,2174.0,2323.0,3075.0,1970
2004,Brazil,Espirito Santo,Robusta,6.2,631.0,5050.0,205.0,2174.0,2323.0,3075.0,1970
2004,Brazil,Sao Paulo,Arabica,3.1,631.0,5050.0,205.0,2174.0,2323.0,3075.0,1970
2004,Brazil,Parana,Arabica,2.2,631.0,5050.0,205.0,2174.0,2323.0,3075.0,1970
2005,Brazil,Minas Gerais,Arabica,21.4,466.0,5255.0,148.0,2305.0,2280.0,3149.0,1970
2005,Brazil,Espirito Santo,Arabica,2.5,466.0,5255.0,148.0,2305.0,2280.0,3149.0,1970
2005,Brazil,Espirito Santo,Robusta,5.6,466.0,5255.0,148.0,2305.0,2280.0,3149.0,1970
2005,Brazil,Sao Paulo,Arabica,4.9,466.0,5255.0,148.0,2305.0,2280.0,3149.0,1970
2005,Brazil,Parana,Arabica,2.6,466.0,5255.0,148.0,2305.0,2280.0,3149.0,1970
2006,Brazil,Minas Gerais,Arabica,16.3,581.0,5330.0,175.0,2298.0,2319.0,3320.0,1970
2006,Brazil,Espirito Santo,Arabica,2.2,581.0,5330.0,175.0,2298.0,2319.0,3320.0,1970
2006,Brazil,Espirito Santo,Robusta,6.2,581.0,5330.0,175.0,2298.0,2319.0,3320.0,1970
2006,Brazil,Sao Paulo,Arabica,3.3,581.0,5330.0,175.0,2298.0,2319.0,3320.0,1970
2006,Brazil,Parana,Arabica,1.8,581.0,5330.0,175.0,2298.0,2319.0,3320.0,1970
2007,Brazil,Minas Gerais,Arabica,23.7,563.0,5730.0,186.0,2245.0,2552.0,3030.0,1970
2007,Brazil,Espirito Santo,Arabica,2.2,563.0,5730.0,186.0,2245.0,2552.0,3030.0,1970
2007,Brazil,Espirito Santo,Robusta,7.8,563.0,5730.0,186.0,2245.0,2552.0,3030.0,1970
2007,Brazil,Sao Paulo,Arabica,4.9,563.0,5730.0,186.0,2245.0,2552.0,3030.0,1970
2007,Brazil,Parana,Arabica,2.5,563.0,5730.0,186.0,2245.0,2552.0,3030.0,1970
2008,Brazil,Minas Gerais,Arabica,16.85,679.0,5720.0,196.0,2235.0,2559.0,3468.0,1970
2008,Brazil,Espirito Santo,Arabica,2.2,679.0,5720.0,196.0,2235.0,2559.0,3468.0,1970
2008,Brazil,Espirito Santo,Robusta,8.2,679.0,5720.0,196.0,2235.0,2559.0,3468.0,1970
2008,Brazil,Sao Paulo,Arabica,3.1,679.0,5720.0,196.0,2235.0,2559.0,3468.0,1970
2008,Brazil,Parana,Arabica,1.95,679.0,5720.0,196.0,2235.0,2559.0,3468.0,1970
2009,Brazil,Minas Gerais,Arabica,25.55,663.0,5770.0,188.0,2223.0,2596.0,3527.0,1970
2009,Brazil,Espirito Santo,Arabica,2.8,663.0,5770.0,188.0,2223.0,2596.0,3527.0,1970
2009,Brazil,Espirito Santo,Robusta,9.0,663.0,5770.0,188.0,2223.0,2596.0,3527.0,1970
2009,Brazil,Sao Paulo,Arabica,4.85,663.0,5770.0,188.0,2223.0,2596.0,3527.0,1970
2009,Brazil,Parana,Arabica,2.5,663.0,5770.0,188.0,2223.0,2596.0,3527.0,1970
2010,Brazil,Minas Gerais,Arabica,22.1,873.0,5725.0,244.0,2151.0,2662.0,3578.0,1970
2010,Brazil,Espirito Santo,Arabica,2.4,873.0,5725.0,244.0,2151.0,2662.0,3578.0,1970
2010,Brazil,Espirito Santo,Robusta,8.2,873.0,5725.0,244.0,2151.0,2662.0,3578.0,1970
2010,Brazil,Sao Paulo,Arabica,4.2,873.0,5725.0,244.0,2151.0,2662.0,3578.0,1970
2010,Brazil,Parana,Arabica,1.9,873.0,5725.0,244.0,2151.0,2662.0,3578.0,1970
2011,Brazil,Minas Gerais,Arabica,28.5,815.0,5820.0,234.0,2175.0,2676.0,3483.0,1970
2011,Brazil,Espirito Santo,Arabica,3.1,815.0,5820.0,234.0,2175.0,2676.0,3483.0,1970
2011,Brazil,Espirito Santo,Robusta,8.4,815.0,5820.0,234.0,2175.0,2676.0,3483.0,1970
2011,Brazil,Sao Paulo,Arabica,5.0,815.0,5820.0,234.0,2175.0,2676.0,3483.0,1970
2011,Brazil,Parana,Arabica,2.4,815.0,5820.0,234.0,2175.0,2676.0,3483.0,1970
2012,Brazil,Minas Gerais,Arabica,23.5,835.0,5760.0,260.0,2150.0,2679.0,3212.0,1970
2012,Brazil,Espirito Santo,Arabica,2.7,835.0,5760.0,260.0,2150.0,2679.0,3212.0,1970
2012,Brazil,Espirito Santo,Robusta,10.8,835.0,5760.0,260.0,2150.0,2679.0,3212.0,1970
2012,Brazil,Sao Paulo,Arabica,4.1,835.0,5760.0,260.0,2150.0,2679.0,3212.0,1970
2012,Brazil,Parana,Arabica,1.9,835.0,5760.0,260.0,2150.0,2679.0,3212.0,1970
2013,Brazil,Minas Gerais,Arabica,28.5,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,1970
2013,Brazil,Espirito Santo,Arabica,3.0,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,1970
2013,Brazil,Espirito Santo,Robusta,11.8,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,1970
2013,Brazil,Sao Paulo,Arabica,5.4,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,1970
2013,Brazil,Parana,Arabica,1.8,1000.0,5860.0,282.0,2105.0,2784.0,3546.0,1970
2014,Brazil,Minas Gerais,Arabica,29.4,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Minas Gerais,Arabica,29.4,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Espirito Santo,Arabica,3.5,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Espirito Santo,Arabica,3.5,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Espirito Santo,Robusta,12.3,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Espirito Santo,Robusta,12.3,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Sao Paulo,Arabica,4.6,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Sao Paulo,Arabica,4.6,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Parana,Arabica,1.7,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2014,Brazil,Parana,Arabica,1.7,1055.0,5810.0,307.0,2135.0,2721.0,3436.0,1970
2015,Brazil,Minas Gerais,Arabica,26.0,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,1970
2015,Brazil,Espirito Santo,Arabica,3.3,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,1970
2015,Brazil,Espirito Santo,Robusta,13.1,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,1970
2015,Brazil,Sao Paulo,Arabica,4.6,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,1970
2015,Brazil,Parana,Arabica,1.0,1185.0,5770.0,347.0,2090.0,2761.0,3415.0,1970
2016,Brazil,Minas Gerais,Arabica,25.3,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,1970
2016,Brazil,Espirito Santo,Arabica,3.1,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,1970
2016,Brazil,Espirito Santo,Robusta,9.9,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,1970
2016,Brazil,Sao Paulo,Arabica,4.3,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,1970
2016,Brazil,Parana,Arabica,1.2,1125.0,5735.0,340.0,2070.0,2771.0,3309.0,1970
2017,Brazil,Minas Gerais,Arabica,32.5,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,1970
2017,Brazil,Espirito Santo,Arabica,3.8,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,1970
2017,Brazil,Espirito Santo,Robusta,6.7,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,1970
2017,Brazil,Sao Paulo,Arabica,5.9,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,1970
2017,Brazil,Parana,Arabica,1.1,1300.0,5640.0,380.0,2020.0,2792.0,3421.0,1970
2018,Brazil,Minas Gerais,Arabica,28.3,,,,,,,1970
2018,Brazil,Espirito Santo,Arabica,3.3,,,,,,,1970
2018,Brazil,Espirito Santo,Robusta,7.3,,,,,,,1970
2018,Brazil,Sao Paulo,Arabica,4.3,,,,,,,1970
2018,Brazil,Parana,Arabica,1.3,,,,,,,1970
2019,Brazil,Minas Gerais,Arabica,34.2,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,1970
2019,Brazil,Espirito Santo,Arabica,4.7,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,1970
2019,Brazil,Espirito Santo,Robusta,10.9,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,1970
2019,Brazil,Sao Paulo,Arabica,6.5,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,1970
2019,Brazil,Parana,Arabica,1.2,1150.0,5740.0,335.0,2060.0,2786.0,3433.0,1970
2020,Brazil,Minas Gerais,Arabica,29.1,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,1970
2020,Brazil,Espirito Santo,Arabica,3.9,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,1970
2020,Brazil,Espirito Santo,Robusta,12.9,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,1970
2020,Brazil,Sao Paulo,Arabica,5.4,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,1970
2020,Brazil,Parana,Arabica,1.1,1230.0,5700.0,350.0,2040.0,2794.0,3514.0,1970
2021,Brazil,Minas Gerais,Arabica,34.8,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,1970
2021,Brazil,Espirito Santo,Arabica,4.8,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,1970
2021,Brazil,Espirito Santo,Robusta,14.3,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,1970
2021,Brazil,Sao Paulo,Arabica,6.4,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,1970
2021,Brazil,Parana,Arabica,1.1,1050.0,6200.0,320.0,2100.0,2952.0,3281.0,1970
2022,Brazil,Minas Gerais,Arabica,24.5,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,1970
2022,Brazil,Espirito Santo,Arabica,3.7,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,1970
2022,Brazil,Espirito Santo,Robusta,15.7,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,1970
2022,Brazil,Sao Paulo,Arabica,4.6,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,1970
2022,Brazil,Parana,Arabica,1.0,1500.0,6010.0,470.0,2010.0,2990.0,3191.0,1970
2023,Brazil,Minas Gerais,Arabica,28.5,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,1970
2023,Brazil,Espirito Santo,Arabica,4.4,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,1970
2023,Brazil,Espirito Santo,Robusta,16.6,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,1970
2023,Brazil,Sao Paulo,Arabica,5.1,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,1970
2023,Brazil,Parana,Arabica,0.8,1510.0,6100.0,475.0,2020.0,3020.0,3179.0,1970
